,Nama,tempat lahir,tanggal lahir,Remove Gelar Depan,only_character
1050, EVI APITA MAYA  S H   M Kn  ,,00/00/0000, EVI APITA MAYA  S H   M Kn  ,EVIAPITAMAYASHMKn
1051, Ir  H  ACHMAD SUKISMAN AZMY  M Hum ,,00/00/0000, Ir  H  ACHMAD SUKISMAN AZMY  M Hum ,IrHACHMADSUKISMANAZMYMHum
1052, TGH  IBNU HALIL  S Ag   M Pd i ,,00/00/0000, TGH  IBNU HALIL  S Ag   M Pd i ,TGHIBNUHALILSAgMPdi
1053, H  LALU SUHAIMI ISMY ,,00/00/0000, H  LALU SUHAIMI ISMY ,HLALUSUHAIMIISMY
1054, HILDA MANAFE  S E   M M  ,,00/00/0000, HILDA MANAFE  S E   M M  ,HILDAMANAFESEMM
1055, dr  ASYERA RESPATI A  WUNDALERO ,,00/00/0000,  ASYERA RESPATI A  WUNDALERO ,ASYERARESPATIAWUNDALERO
1056, ANGELIUS WAKE KAKO  S Pd   M Si  ,,00/00/0000, ANGELIUS WAKE KAKO  S Pd   M Si  ,ANGELIUSWAKEKAKOSPdMSi
1057, Ir  Abraham Liyanto ,,00/00/0000, Ir  Abraham Liyanto ,IrAbrahamLiyanto
1058, Drs  CHRISTIANDY SANJAYA  S E   M M  ,,00/00/0000, Drs  CHRISTIANDY SANJAYA  S E   M M  ,DrsCHRISTIANDYSANJAYASEMM
1059, MARIA GORETI  S Sos   M Si  ,,00/00/0000, MARIA GORETI  S Sos   M Si  ,MARIAGORETISSosMSi
1060, ERLINAWATI  S H   M AP  ,,00/00/0000, ERLINAWATI  S H   M AP  ,ERLINAWATISHMAP
1061, H  SUKIRYANTO ,,00/00/0000, H  SUKIRYANTO ,HSUKIRYANTO
1062, AGUSTIN TERAS NARANG  S H  ,,00/00/0000, AGUSTIN TERAS NARANG  S H  ,AGUSTINTERASNARANGSH
1063, H  MUHAMMAD RAKHMAN  S E   S T  ,,00/00/0000, H  MUHAMMAD RAKHMAN  S E   S T  ,HMUHAMMADRAKHMANSEST
1064, HABIB SAID ABDURRAHMAN ,,00/00/0000, HABIB SAID ABDURRAHMAN ,HABIBSAIDABDURRAHMAN
1065, Hj  YUSTINA ISMIATI  S H   M H  ,,00/00/0000, Hj  YUSTINA ISMIATI  S H   M H  ,HjYUSTINAISMIATISHMH
1066, HABIB ABDURRAHMAN BAHASYIM  S E   M M  ,,00/00/0000, HABIB ABDURRAHMAN BAHASYIM  S E   M M  ,HABIBABDURRAHMANBAHASYIMSEMM
1067, H  GUSTI FARID HASAN AMAN  S E   Akt   M B A  ,,00/00/0000, H  GUSTI FARID HASAN AMAN  S E   Akt   M B A  ,HGUSTIFARIDHASANAMANSEAktMBA
1068, HABIB ZAKARIA BAHASYIM ,,00/00/0000, HABIB ZAKARIA BAHASYIM ,HABIBZAKARIABAHASYIM
1069, HABIB HAMID ABDULLAH  S H   M H  ,,00/00/0000, HABIB HAMID ABDULLAH  S H   M H  ,HABIBHAMIDABDULLAHSHMH
1070, H  AWANG FERDIAN HIDAYAT  S E   M M  ,,00/00/0000, H  AWANG FERDIAN HIDAYAT  S E   M M  ,HAWANGFERDIANHIDAYATSEMM
1071, Dr  H  MAHYUDIN  S T   M M  ,,00/00/0000, Dr  H  MAHYUDIN  S T   M M  ,DrHMAHYUDINSTMM
1072, AJI MIRNI MAWARNI  S T   M M  ,,00/00/0000, AJI MIRNI MAWARNI  S T   M M  ,AJIMIRNIMAWARNISTMM
1073, ZAINAL ARIFIN  A Md Kep  ,,00/00/0000, ZAINAL ARIFIN  A Md Kep  ,ZAINALARIFINAMdKep
1074, Dr  Drs  MARTHIN BILLA  M M  ,,00/00/0000, Dr  Drs  MARTHIN BILLA  M M  ,DrDrsMARTHINBILLAMM
1075, ASNI HAFID ,,00/00/0000, ASNI HAFID ,ASNIHAFID
1076, HASAN BASRI  S E  ,,00/00/0000, HASAN BASRI  S E  ,HASANBASRISE
1077, FERNANDO SINAGA  S Th  ,,00/00/0000, FERNANDO SINAGA  S Th  ,FERNANDOSINAGASTh
1078, CHERISH HARRIETTE ,,00/00/0000, CHERISH HARRIETTE ,CHERISHHARRIETTE
1079, MAYA RUMANTIR ,,00/00/0000, MAYA RUMANTIR ,MAYARUMANTIR
1080, DJAFAR ALKATIRI ,,00/00/0000, DJAFAR ALKATIRI ,DJAFARALKATIRI
1081, Ir  STEFANUS B  A  N  LIOW ,,00/00/0000, Ir  STEFANUS B  A  N  LIOW ,IrSTEFANUSBANLIOW
1082, LUKKY SEMEN  S E  ,,00/00/0000, LUKKY SEMEN  S E  ,LUKKYSEMENSE
1083, Dr  ABDUL RACHMAN THAHA  S H   M H  ,,00/00/0000, Dr  ABDUL RACHMAN THAHA  S H   M H  ,DrABDULRACHMANTHAHASHMH
1084, Dr  SHALEH MUHAMAD ALDJUFRI  Lc  M A  ,,00/00/0000, Dr  SHALEH MUHAMAD ALDJUFRI  Lc  M A  ,DrSHALEHMUHAMADALDJUFRILcMA
1085, Dr  MUHAMMAD J  WARTABONE  S H   M Hi  ,,00/00/0000, Dr  MUHAMMAD J  WARTABONE  S H   M Hi  ,DrMUHAMMADJWARTABONESHMHi
1086, ANDI MUH  IHSAN ,,00/00/0000, ANDI MUH  IHSAN ,ANDIMUHIHSAN
1087, LILY AMELIA SALURAPA  S E   M M  ,,00/00/0000, LILY AMELIA SALURAPA  S E   M M  ,LILYAMELIASALURAPASEMM
1088, TAMSIL LINRUNG ,,00/00/0000, TAMSIL LINRUNG ,TAMSILLINRUNG
1089, Dr  H  AJIEP PADINDANG  S E   M M  ,,00/00/0000, Dr  H  AJIEP PADINDANG  S E   M M  ,DrHAJIEPPADINDANGSEMM
1090, Hj  ANDI NIRWANA S  S P   M M  ,,00/00/0000, Hj  ANDI NIRWANA S  S P   M M  ,HjANDINIRWANASSPMM
1091, Dr  H  MZ  AMIRUL TAMIM  M Si  ,,00/00/0000, Dr  H  MZ  AMIRUL TAMIM  M Si  ,DrHMZAMIRULTAMIMMSi
1092, WA ODE RABIA AL ADAWIA RIDWAN  S E   M B A  ,,00/00/0000, WA ODE RABIA AL ADAWIA RIDWAN  S E   M B A  ,WAODERABIAALADAWIARIDWANSEMBA
1093, dr  DEWA PUTU ARDIKA SEPUTRA  Sp OG  ,,00/00/0000,  DEWA PUTU ARDIKA SEPUTRA  Sp OG  ,DEWAPUTUARDIKASEPUTRASpOG
1094, Prof  Dr  Ir  FADEL MUHAMMAD ,,00/00/0000, Prof  Dr  Ir  FADEL MUHAMMAD ,ProfDrIrFADELMUHAMMAD
1095, H  ABDURRAHMAN ABUBAKAR BAHMID  Lc  ,,00/00/0000, H  ABDURRAHMAN ABUBAKAR BAHMID  Lc  ,HABDURRAHMANABUBAKARBAHMIDLc
1096, RAHMIJATI JAHJA ,,00/00/0000, RAHMIJATI JAHJA ,RAHMIJATIJAHJA
1097, DEWI SARTIKA HEMETO  S E  ,,00/00/0000, DEWI SARTIKA HEMETO  S E  ,DEWISARTIKAHEMETOSE
1098, ANDRI PRAYOGA PUTRA SINGKARRU  M Sc  ,,00/00/0000, ANDRI PRAYOGA PUTRA SINGKARRU  M Sc  ,ANDRIPRAYOGAPUTRASINGKARRUMSc
1099, H  ISKANDAR MUDA BAHARUDDIN LOPA ,,00/00/0000, H  ISKANDAR MUDA BAHARUDDIN LOPA ,HISKANDARMUDABAHARUDDINLOPA
1100, H  ALMALIK PABABARI ,,00/00/0000, H  ALMALIK PABABARI ,HALMALIKPABABARI
1101, AJBAR ,,00/00/0000, AJBAR ,AJBAR
1102, ANNA LATUCONSINA  S H  ,,00/00/0000, ANNA LATUCONSINA  S H  ,ANNALATUCONSINASH
1103, NOVITA ANAKOTTA  S H   M H  ,,00/00/0000, NOVITA ANAKOTTA  S H   M H  ,NOVITAANAKOTTASHMH
1104, MIRATI DEWANINGSIH  S T  ,,00/00/0000, MIRATI DEWANINGSIH  S T  ,MIRATIDEWANINGSIHST
1105, Dr  NONO SAMPONO    M Si  ,,00/00/0000, Dr  NONO SAMPONO    M Si  ,DrNONOSAMPONOMSi
1106, HUSAIN ALTING SJAH  S E   M M  ,,00/00/0000, HUSAIN ALTING SJAH  S E   M M  ,HUSAINALTINGSJAHSEMM
1107, Ir  NAMTO ROBA  S H  ,,00/00/0000, Ir  NAMTO ROBA  S H  ,IrNAMTOROBASH
1108, MATHEUS STEFI PASIMANJEKU  S H  ,,00/00/0000, MATHEUS STEFI PASIMANJEKU  S H  ,MATHEUSSTEFIPASIMANJEKUSH
1109, Hj  SURIATI ARMAIYN ,,00/00/0000, Hj  SURIATI ARMAIYN ,HjSURIATIARMAIYN
1110, YORRYS RAWEYAI ,,00/00/0000, YORRYS RAWEYAI ,YORRYSRAWEYAI
1111, OTOPIANUS P  TEBAI ,,00/00/0000, OTOPIANUS P  TEBAI ,OTOPIANUSPTEBAI
1112, HERLINA MURIB ,,00/00/0000, HERLINA MURIB ,HERLINAMURIB
1113, Pdt  RUBEN UAMANG  S Th   M A  ,,00/00/0000, Pdt  RUBEN UAMANG  S Th   M A  ,PdtRUBENUAMANGSThMA
1114, MAMBEROB YOSEPHUS RUMAKIEK  S Si   M Kesos  ,,00/00/0000, MAMBEROB YOSEPHUS RUMAKIEK  S Si   M Kesos  ,MAMBEROBYOSEPHUSRUMAKIEKSSiMKesos
1115, FILEP WAMAFMA  S H   M Hum  ,,00/00/0000, FILEP WAMAFMA  S H   M Hum  ,FILEPWAMAFMASHMHum
1116, YANCE SAMONSABRA  S H  ,,00/00/0000, YANCE SAMONSABRA  S H  ,YANCESAMONSABRASH
1117, M  SANUSI RAHANINGMAS  S Sos   M MSip  ,,00/00/0000, M  SANUSI RAHANINGMAS  S Sos   M MSip  ,MSANUSIRAHANINGMASSSosMMSip
1118, Nova Iriansyah ,"Banda Aceh, Daerah Istimewa Aceh",22/11/1963, Nova Iriansyah ,NovaIriansyah
1119, Edy Rahmayadi ," Sabang, Aceh",10/03/1961, Edy Rahmayadi ,EdyRahmayadi
1120, Mahyeldi Ansharullah ," Bukittinggi, Sumatra Barat",25/12/1966, Mahyeldi Ansharullah ,MahyeldiAnsharullah
1121, Syamsuar ," Jumrah, Rokan Hilir, Riau, Indonesia",8/06/1954, Syamsuar ,Syamsuar
1122, Al Haris ,"Sekancing, Tiang Pumpung, Merangin, Jambi",23/11/1973, Al Haris ,AlHaris
1123, Herman Deru ," Belitang, Ogan Komering Ulu Timur, Sumatra Selatan",17/11/1967, Herman Deru ,HermanDeru
1124, Rohidin Mersyah ,"Gelumbang, Kota Manna, Bengkulu Selatan, Bengkulu",9/01/1970, Rohidin Mersyah ,RohidinMersyah
1125, Arinal Djunaidi ," Tanjungkarang, Lampung",17/06/1956, Arinal Djunaidi ,ArinalDjunaidi
1126, Erzaldi Rosman Djohan ," Pangkalpinang, Bangka Belitung, Indonesia",31/10/1969, Erzaldi Rosman Djohan ,ErzaldiRosmanDjohan
1127, Ansar Ahmad politikus Indonesia ," Kijang Kota, Bintan Timur, Kabupaten Kepulauan Riau, Riau",10/04/1964, Ansar Ahmad politikus Indonesia ,AnsarAhmadpolitikusIndonesia
1128, Anies Baswedan ,"Kuningan, Jawa Barat, Indonesia",7/05/1969, Anies Baswedan ,AniesBaswedan
1129, Ridwan Kamil ,"Bandung, Jawa Barat, Indonesia",4/10/1971, Ridwan Kamil ,RidwanKamil
1130, Ganjar Pranowo ,"Karanganyar, Jawa Tengah, Indonesia",28/10/1968, Ganjar Pranowo ,GanjarPranowo
1131, Hamengkubawana X ," Keraton Yogyakarta, Yogyakarta, Indonesia",2/04/1946, Hamengkubawana X ,HamengkubawanaX
1132, Khofifah Indar Parawansa ,"Surabaya, Jawa Timur, Indonesia",19/05/1965, Khofifah Indar Parawansa ,KhofifahIndarParawansa
1133, Wahidin Halim ,"Tangerang, Jawa Barat",14/08/1954, Wahidin Halim ,WahidinHalim
1134, I Wayan Koster ,"Singaraja, Bali",20/10/1962, I Wayan Koster ,IWayanKoster
1135, Zulkieflimansyah ," Sumbawa Besar, Nusa Tenggara Barat",18/05/1972, Zulkieflimansyah ,Zulkieflimansyah
1136, Viktor Laiskodat ," Oenesu, Kupang Barat, Kupang, Nusa Tenggara Timur",17/02/1965, Viktor Laiskodat ,ViktorLaiskodat
1137, Sutarmidji ," Pontianak, Kalimantan Barat, Indonesia",29/11/1962, Sutarmidji ,Sutarmidji
1138, Sugianto Sabran ," Sampit, Kalimantan Tengah",51973, Sugianto Sabran ,SugiantoSabran
1139, Sahbirin Noor ," Banjarmasin, Kalimantan Selatan",12/11/1967, Sahbirin Noor ,SahbirinNoor
1140, Isran Noor ," Sangkulirang, Kutai Timur, Kalimantan Timur",20/09/1957, Isran Noor ,IsranNoor
1141, Zainal Arifin Paliwang ," Makassar, Sulawesi Selatan",16/12/1962, Zainal Arifin Paliwang ,ZainalArifinPaliwang
1142, Olly Dondokambey ," Manado, Sulawesi Utara",18/11/1961, Olly Dondokambey ,OllyDondokambey
1143, Rusdy Mastura ," Palu, Sulawesi Tengah",8/02/1950, Rusdy Mastura ,RusdyMastura
1144, Andi Sudirman Sulaiman ," Kabupaten Bone, Sulawesi Selatan, Indonesia",25/09/1983, Andi Sudirman Sulaiman ,AndiSudirmanSulaiman
1145, Ali Mazi ,"Pasarwajo, Buton Sulawesi Tenggara, Indonesia",25/11/1961, Ali Mazi ,AliMazi
1146, Rusli Habibie ,"Gorontalo Utara, Gorontalo, Indonesia",6/06/1963, Rusli Habibie ,RusliHabibie
1147, Ali Baal Masdar ," Makassar, Sulawesi Selatan dan Tenggara",29/05/1960, Ali Baal Masdar ,AliBaalMasdar
1148, Murad Ismail ," Waihaong, Nusaniwe, Ambon, Maluku",11/09/1961, Murad Ismail ,MuradIsmail
1149, Abdul Ghani Kasuba ," Bibinoi, Halmahera Selatan, Maluku Utara, Indonesia",21/12/1951, Abdul Ghani Kasuba ,AbdulGhaniKasuba
1150, Dominggus Mandacan ," Manokwari, Nugini Belanda",16/12/1959, Dominggus Mandacan ,DominggusMandacan
1151, Lukas Enembe ," Kembu, Tolikara, Irian Barat, Indonesia",271967, Lukas Enembe ,LukasEnembe
1152, Musa Rajekshah ," Medan, Sumatra Utara",1/04/1974, Musa Rajekshah ,MusaRajekshah
1153, Audy Joinaldy , Jakarta,16/05/1983, Audy Joinaldy ,AudyJoinaldy
1154, Edy Nasution ," Kota Pinang, Labuhanbatu Selatan, Sumatera Utara, Indonesia",29/05/1961, Edy Nasution ,EdyNasution
1155, Abdullah Sani ,"Bram Itam Kanan, Tanjung Jabung Barat, Jambi",8/09/1956, Abdullah Sani ,AbdullahSani
1156, Mawardi Yahya ," Sukaraja Baru, Indralaya Selatan, Ogan Ilir, Sumatra Selatan",2/03/1958, Mawardi Yahya ,MawardiYahya
1157, Rosjonsyah Syahili ,"Lahat, Sumatra Selatan",18/02/1964, Rosjonsyah Syahili ,RosjonsyahSyahili
1158, Chusnunia Chalim ," Karang Anom, Waway Karya, Lampung Timur, Lampung",121982, Chusnunia Chalim ,ChusnuniaChalim
1159, Abdul Fatah ," Gantung, Belitung Timur, Kepulauan Bangka Belitung",3/08/1953, Abdul Fatah ,AbdulFatah
1160, Marlin Agustina ," Tanjung Balai Karimun, Kabupaten Kepulauan Riau, Riau",15/08/1971, Marlin Agustina ,MarlinAgustina
1161, Ahmad Riza Patria ,"Banjarmasin, Kalimantan Selatan, Indonesia",17/12/1969, Ahmad Riza Patria ,AhmadRizaPatria
1162, Uu Ruzhanul Ulum ,"Tasikmalaya, Jawa Barat",10/05/1969, Uu Ruzhanul Ulum ,UuRuzhanulUlum
1163, Taj Yasin Maimoen ,"Rembang, Jawa Tengah",21983, Taj Yasin Maimoen ,TajYasinMaimoen
1164, Paku Alam X ," Yogyakarta, Indonesia",15/12/1962, Paku Alam X ,PakuAlamX
1165, Emil Dardak ,"Jakarta, Indonesia",20/05/1984, Emil Dardak ,EmilDardak
1166, Andika Hazrumy ,"Bandung, Jawa Barat",16/12/1985, Andika Hazrumy ,AndikaHazrumy
1167, Tjokorda Oka Artha Ardana Sukawati ,"Gianyar, Bali",23/01/1957, Tjokorda Oka Artha Ardana Sukawati ,TjokordaOkaArthaArdanaSukawati
1168, Sitti Rohmi Djalilah ," Pancor, Selong, Lombok Timur, Nusa Tenggara Barat",29/11/1968, Sitti Rohmi Djalilah ,SittiRohmiDjalilah
1169, Josef Nae Soi ," Mataloko, Ngada",22/09/1952, Josef Nae Soi ,JosefNaeSoi
1170, Ria Norsan ," Mempawah, Kalimantan Barat",17/12/1967, Ria Norsan ,RiaNorsan
1171, Edy Pratowo ," Palangka Raya, Kalimantan Tengah",9/12/1969, Edy Pratowo ,EdyPratowo
1172, Muhidin ," Binuang, Tapin, Kalimantan Selatan",6/05/1958, Muhidin ,Muhidin
1173, Hadi Mulyadi ," Samarinda, Kalimantan Timur",9/05/1968, Hadi Mulyadi ,HadiMulyadi
1174, Yansen Tipa Padan ," Pa Upan, Krayan Selatan, Nunukan, Kalimantan Utara",14/01/1960, Yansen Tipa Padan ,YansenTipaPadan
1175, Steven Kandouw ," Tondano, Sulawesi Utara",5/09/1969, Steven Kandouw ,StevenKandouw
1176, Ma'mun Amir ," Luwuk, Sulawesi Tengah",1/11/1952, Ma'mun Amir ,MamunAmir
1177, Lukman Abunawas ," Kendari, Sulawesi Tenggara",11/09/1958, Lukman Abunawas ,LukmanAbunawas
1178, Idris Rahim ,Gorontalo,10/08/1954, Idris Rahim ,IdrisRahim
1179, Enny Anggraeny Anwar ," Parepare, Sulawesi, Indonesia",9/04/1956, Enny Anggraeny Anwar ,EnnyAnggraenyAnwar
1180, Barnabas Orno ," Letoda, Pulau Lakor, Maluku Barat Daya, Maluku",2/11/1963, Barnabas Orno ,BarnabasOrno
1181, Al Yasin Ali ," Weda, Halmahera Tengah, Maluku Utara",25/05/1958, Al Yasin Ali ,AlYasinAli
1182, Mohamad Lakotani ," Kaimana, Irian Barat, Indonesia",13/03/1971, Mohamad Lakotani ,MohamadLakotani
1183, Anak Agung Gede Agung Suyoga ,,, Anak Agung Gede Agung Suyoga ,AnakAgungGedeAgungSuyoga
1184, Ni Wayan Sari Galung ,,, Ni Wayan Sari Galung ,NiWayanSariGalung
1185, I Gusti Putu Budiarta ,,, I Gusti Putu Budiarta ,IGustiPutuBudiarta
1186, I Wayan Kariarta ,,, I Wayan Kariarta ,IWayanKariarta
1187, Anak Agung Ngurah Adhi Ardhana ,,, Anak Agung Ngurah Adhi Ardhana ,AnakAgungNgurahAdhiArdhana
1188, I Bagus Alit Sucipta ,,, I Bagus Alit Sucipta ,IBagusAlitSucipta
1189, I Ketut Tama Tenaya ,,, I Ketut Tama Tenaya ,IKetutTamaTenaya
1190, I Nyoman Laka ,,, I Nyoman Laka ,INyomanLaka
1191, I Made Duama ,,, I Made Duama ,IMadeDuama
1192, I Nyoman Adi Wiryatama ,,, I Nyoman Adi Wiryatama ,INyomanAdiWiryatama
1193, I Ketut Purnaya ,,, I Ketut Purnaya ,IKetutPurnaya
1194, I Ketut Suryadi ,,, I Ketut Suryadi ,IKetutSuryadi
1195, I Made Supartha ,,, I Made Supartha ,IMadeSupartha
1196, I Gustu Ayu Diah Werdhi Srikandi ,,, I Gustu Ayu Diah Werdhi Srikandi ,IGustuAyuDiahWerdhiSrikandi
1197, I Ketut Sugiasa ,,, I Ketut Sugiasa ,IKetutSugiasa
1198, I Gusti Ayu Aries Sujati ,,, I Gusti Ayu Aries Sujati ,IGustiAyuAriesSujati
1199, I Kadek Setiawan ,,, I Kadek Setiawan ,IKadekSetiawan
1200, Putu Mangku Mertayasa ,,, Putu Mangku Mertayasa ,PutuMangkuMertayasa
1201, I Ketut Rochineng ,,, I Ketut Rochineng ,IKetutRochineng
1202, Gede Kusuma Putra ,,, Gede Kusuma Putra ,GedeKusumaPutra
1203, Dewa Made Mahayadnya ,,, Dewa Made Mahayadnya ,DewaMadeMahayadnya
1204, I Nyoman Budiutana ,,, I Nyoman Budiutana ,INyomanBudiutana
1205, I Nyoman Adyana ,,, I Nyoman Adyana ,INyomanAdyana
1206, Ni Kadek Darmini ,,, Ni Kadek Darmini ,NiKadekDarmini
1207, I Nyoman Oka Antara ,,, I Nyoman Oka Antara ,INyomanOkaAntara
1208, I Nyoman Purwa Ngurah Arsana ,,, I Nyoman Purwa Ngurah Arsana ,INyomanPurwaNgurahArsana
1209, Ni Luh Kadek Dwi Yustiawati ,,, Ni Luh Kadek Dwi Yustiawati ,NiLuhKadekDwiYustiawati
1210, Tjokorda Gede Agung ,,, Tjokorda Gede Agung ,TjokordaGedeAgung
1211, I Kadek Diana ,,, I Kadek Diana ,IKadekDiana
1212, Ni Luh Yuniati ,,, Ni Luh Yuniati ,NiLuhYuniati
1213, I Made Rai Budastra ,,, I Made Rai Budastra ,IMadeRaiBudastra
1214, I Made Rai Warsa ,,, I Made Rai Warsa ,IMadeRaiWarsa
1215, Gede Agung Wira Mantra ,,, Gede Agung Wira Mantra ,GedeAgungWiraMantra
1216, I Ketut Suwandi ,,, I Ketut Suwandi ,IKetutSuwandi
1217, I Wayan Rawan Atmaja ,,, I Wayan Rawan Atmaja ,IWayanRawanAtmaja
1218, I Nyoman Wirya ,,, I Nyoman Wirya ,INyomanWirya
1219, I Made Suardana ,,, I Made Suardana ,IMadeSuardana
1220, I Nyoman Sugawa Korry ,,, I Nyoman Sugawa Korry ,INyomanSugawaKorry
1221, Ida Gede Komang Kresna Budi ,,, Ida Gede Komang Kresna Budi ,IdaGedeKomangKresnaBudi
1222, I Wayan Gunawan ,,, I Wayan Gunawan ,IWayanGunawan
1223, Ni Putu Yuli Artini ,,, Ni Putu Yuli Artini ,NiPutuYuliArtini
1224, I Wayan Disel Astawa ,,, I Wayan Disel Astawa ,IWayanDiselAstawa
1225, I Gde Ketut Nugrahita Pendit ,,, I Gde Ketut Nugrahita Pendit ,IGdeKetutNugrahitaPendit
1226, I Kadek Darma Susila ,,, I Kadek Darma Susila ,IKadekDarmaSusila
1227, I Nyoman Ray Yusa ,,, I Nyoman Ray Yusa ,INyomanRayYusa
1228, I Nyoman Suyasa ,,, I Nyoman Suyasa ,INyomanSuyasa
1229, I Ketut Juliarta ,,, I Ketut Juliarta ,IKetutJuliarta
1230, Utami Dwi Suryadi ,,, Utami Dwi Suryadi ,UtamiDwiSuryadi
1231, Komang Nova Sewi Putra ,,, Komang Nova Sewi Putra ,KomangNovaSewiPutra
1232, Komang Wirawan ,,, Komang Wirawan ,KomangWirawan
1233, Tjok Gede Asmara Putra Sukawati ,,, Tjok Gede Asmara Putra Sukawati ,TjokGedeAsmaraPutraSukawati
1234, Somvir ,,, Somvir ,Somvir
1235, I Wayan Kari Subali ,,, I Wayan Kari Subali ,IWayanKariSubali
1236, I Wayan Arta ,,, I Wayan Arta ,IWayanArta
1237, Grace Anastasia Surya Widjaja ,,, Grace Anastasia Surya Widjaja ,GraceAnastasiaSuryaWidjaja
1238, Suimi Fales ,,, Suimi Fales ,SuimiFales
1239, Renjes Zaetheddy ,,, Renjes Zaetheddy ,RenjesZaetheddy
1240, Andika Putra ,,, Andika Putra ,AndikaPutra
1241, Zainal ,,, Zainal ,Zainal
1242, Suharto ,,, Suharto ,Suharto
1243, Irwan Eriadi ,,, Irwan Eriadi ,IrwanEriadi
1244, Fitri ,,, Fitri ,Fitri
1245, Mohd  Gustiadi ,,, Mohd  Gustiadi ,MohdGustiadi
1246, Herwin Suberhani ,,, Herwin Suberhani ,HerwinSuberhani
1247, Jonaidi ,,, Jonaidi ,Jonaidi
1248, Andaru Pranata ,,, Andaru Pranata ,AndaruPranata
1249, Ihsan Fajri ,,, Ihsan Fajri ,IhsanFajri
1250, Marlesi ,,, Marlesi ,Marlesi
1251, Sudirman ,,, Sudirman ,Sudirman
1252, Edwar Samsi ,,, Edwar Samsi ,EdwarSamsi
1253, Yevri Sudianto ,,, Yevri Sudianto ,YevriSudianto
1254, Srie Rejeki ,,, Srie Rejeki ,SrieRejeki
1255, Sumardi ,,, Sumardi ,Sumardi
1256, M  Imron Rosyadi 2019-2020 ,,, M  Imron Rosyadi ,MImronRosyadi
1257, Raharjo Sudiro belum diusulkan ,,, Raharjo Sudiro ,RaharjoSudiro
1258, Badrun Hasani ,,, Badrun Hasani ,BadrunHasani
1259, Andrian Wahyudi ,,, Andrian Wahyudi ,AndrianWahyudi
1260, Darmawansyah ,,, Darmawansyah ,Darmawansyah
1261, Samsu Amanah ,,, Samsu Amanah ,SamsuAmanah
1262, Mega Sulastri ,,, Mega Sulastri ,MegaSulastri
1263, Erna Sari Dewi ,,, Erna Sari Dewi ,ErnaSariDewi
1264, Tantawi Dali ,,, Tantawi Dali ,TantawiDali
1265, Zulasmi Octarina ,,, Zulasmi Octarina ,ZulasmiOctarina
1266, Holil ,,, Holil ,Holil
1267, Sarjoni Hanapi ,,, Sarjoni Hanapi ,SarjoniHanapi
1268, Sefty Yuslinah ,,, Sefty Yuslinah ,SeftyYuslinah
1269, Sujono ,,, Sujono ,Sujono
1270, Herizal Afriansyah ,,, Herizal Afriansyah ,HerizalAfriansyah
1271, Yurman Hamedi ,,, Yurman Hamedi ,YurmanHamedi
1272, Heri Purwanto ,,, Heri Purwanto ,HeriPurwanto
1273, Gunadi Yunir ,,, Gunadi Yunir ,GunadiYunir
1274, Dempo Xler ,,, Dempo Xler ,DempoXler
1275, Billy Dwitrata Sunardi ,,, Billy Dwitrata Sunardi ,BillyDwitrataSunardi
1276, Usin Abdisyah Putra Sembiring ,,, Usin Abdisyah Putra Sembiring ,UsinAbdisyahPutraSembiring
1277, Arsop Dewana ,,, Arsop Dewana ,ArsopDewana
1278, Ria Oktarina ,,, Ria Oktarina ,RiaOktarina
1279, Edison Simbolon 2019-2020 ,,, Edison Simbolon ,EdisonSimbolon
1280, Risman Sipayung belum ditetapkan ,,, Risman Sipayung ,RismanSipayung
1281, Muharamin ,,, Muharamin ,Muharamin
1282, Suhardi D S  ,,, Suhardi D S  ,SuhardiDS
1283, Faizal Mardianto ,,, Faizal Mardianto ,FaizalMardianto
1284, A  Salim ,,, A  Salim ,ASalim
1285, Hj  CONNY GOBEL ,,, Hj  CONNY GOBEL ,HjCONNYGOBEL
1286, DARYATNO GOBEL  S IP ,,, DARYATNO GOBEL  S IP ,DARYATNOGOBELSIP
1287, Drs  H  JUSUF S  HIDA ,,, Drs  H  JUSUF S  HIDA ,DrsHJUSUFSHIDA
1288, H ISMAIL ALULU  SE ,,, H ISMAIL ALULU  SE ,HISMAILALULUSE
1289, INDAY JOAN SANABE ,,, INDAY JOAN SANABE ,INDAYJOANSANABE
1290, JAHARA MAUDA ,,, JAHARA MAUDA ,JAHARAMAUDA
1291, MOHAMAD POLINGGALA ,,, MOHAMAD POLINGGALA ,MOHAMADPOLINGGALA
1292, Ir  LA ODE HAIMUDIN  MM ,,, Ir  LA ODE HAIMUDIN  MM ,IrLAODEHAIMUDINMM
1293, H  ALIFUDDIN DJAMAL  SE ,,, H  ALIFUDDIN DJAMAL  SE ,HALIFUDDINDJAMALSE
1294, ESPIN TULIE  SE  M Si ,,, ESPIN TULIE  SE  M Si ,ESPINTULIESEMSi
1295, Hj  VENNY ROSDIANA ANWAR  SE  MH ,,, Hj  VENNY ROSDIANA ANWAR  SE  MH ,HjVENNYROSDIANAANWARSEMH
1296, Dra  Hj  SRIANI HADJU ,,, Dra  Hj  SRIANI HADJU ,DraHjSRIANIHADJU
1297, SUNARYO DULANIMO ,,, SUNARYO DULANIMO ,SUNARYODULANIMO
1298, Ir  H  HAMID KUNA  MM ,,, Ir  H  HAMID KUNA  MM ,IrHHAMIDKUNAMM
1299, HASPIDA TADJUDIN  SE ,,, HASPIDA TADJUDIN  SE ,HASPIDATADJUDINSE
